user_id_str,in_reply_to_screen_name,created_at,in_reply_to_status_id_str,in_reply_to_user_id_str,verified,location,geo_enabled,user_created_at,statuses_count,followers_count,favourites_count,user_lang,friends_count,country,place_type
2956779809,NA,Wed Dec 07 10:16:22 +0000 2016,NA,NA,FALSE,NA,TRUE,Fri Jan 02 15:41:22 +0000 2015,1456,225,187,en,71,Canada,city
116282481,NA,Wed Dec 07 10:16:24 +0000 2016,NA,NA,FALSE,Antigua and Barbuda,TRUE,Sun Feb 21 21:57:05 +0000 2010,130447,1074,691,en,345,Antigua and Barbuda,country
242522142,NA,Wed Dec 07 10:16:35 +0000 2016,NA,NA,FALSE,Granada,TRUE,Tue Jan 25 00:04:12 +0000 2011,1418,208,312,es,362,España,city
2353186364,NA,Wed Dec 07 10:16:48 +0000 2016,NA,NA,FALSE,"New York City, NY",TRUE,Thu Feb 20 12:46:26 +0000 2014,597,18,1361,en,39,United States,city
4567387397,NA,Wed Dec 07 10:17:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287772,142,0,en,4,Martinique,country
5520702,Dreide,Wed Dec 07 10:17:03 +0000 2016,8.06E+17,6913272,FALSE,"Bonn, Alemania",TRUE,Thu Apr 26 07:13:44 +0000 2007,101555,1263,36059,en,439,Germany,city
159247767,LucaRager,Wed Dec 07 10:17:20 +0000 2016,8.06E+17,457655371,FALSE,Berlin,TRUE,Thu Jun 24 21:43:24 +0000 2010,2444,58,88,de,69,Deutschland,neighborhood
189676173,betyzapi,Wed Dec 07 10:17:25 +0000 2016,8.06E+17,710519222,FALSE,Lancashire,TRUE,Sat Sep 11 22:49:23 +0000 2010,19352,4256,17608,en,2815,United Kingdom,city
42749195,NA,Wed Dec 07 10:17:31 +0000 2016,NA,NA,FALSE,Trinidad and Tobago,TRUE,Tue May 26 23:04:29 +0000 2009,31892,379,8126,en,342,Trinidad and Tobago,country
315527752,pintsize73,Wed Dec 07 10:17:40 +0000 2016,8.06E+17,2613143381,FALSE,BUENOS AIRES,TRUE,Sun Jun 12 01:18:01 +0000 2011,11270,214,661,es,161,Argentina,city
189676173,pmfordham,Wed Dec 07 10:17:52 +0000 2016,8.06E+17,364798283,FALSE,Lancashire,TRUE,Sat Sep 11 22:49:23 +0000 2010,19353,4256,17609,en,2815,United Kingdom,city
18910193,TheRitaGarcia,Wed Dec 07 10:18:00 +0000 2016,8.06E+17,261479621,FALSE,"Cleveland,Ohio",TRUE,Mon Jan 12 18:45:10 +0000 2009,12267,1096,15348,en,3890,United States,city
475192082,NA,Wed Dec 07 10:18:06 +0000 2016,NA,NA,FALSE,London,TRUE,Thu Jan 26 19:53:55 +0000 2012,285,258,127,en,731,United Kingdom,city
1937237474,chris_surf77,Wed Dec 07 10:18:47 +0000 2016,8.06E+17,3052748333,FALSE,Buffalo N.Y.,TRUE,Sat Oct 05 10:38:43 +0000 2013,23213,182,52486,en,184,United States,city
59613713,NA,Wed Dec 07 10:18:49 +0000 2016,NA,NA,FALSE,arabia ,TRUE,Thu Jul 23 22:45:36 +0000 2009,126093,1721,39081,en,1603,United States,city
29238700,NA,Wed Dec 07 10:18:51 +0000 2016,NA,NA,FALSE,"Richmond, VA",TRUE,Mon Apr 06 16:50:33 +0000 2009,10357,1589,973,en,2020,United States,city
33036949,CharliecharlF,Wed Dec 07 10:19:02 +0000 2016,8.06E+17,2766847661,FALSE,"Norfolk, England",TRUE,Sat Apr 18 22:38:43 +0000 2009,15215,2559,32292,en,2121,United Kingdom,city
7.83E+17,NA,Wed Dec 07 10:19:46 +0000 2016,NA,NA,FALSE,"Wichita Falls, TX",TRUE,Sun Oct 02 20:45:04 +0000 2016,8,3,1,en,3,United States,city
8.06E+17,NA,Wed Dec 07 10:19:53 +0000 2016,NA,NA,FALSE,Europe,TRUE,Mon Dec 05 09:21:03 +0000 2016,15,26,12,en,94,United Kingdom,city
8.06E+17,NA,Wed Dec 07 10:20:32 +0000 2016,NA,NA,FALSE,"Fortaleza, Brasil",TRUE,Mon Dec 05 03:22:12 +0000 2016,11,15,17,pt,63,Brasil,city
2493398820,NA,Wed Dec 07 10:21:39 +0000 2016,NA,NA,FALSE,Lebanon,TRUE,Tue May 13 19:09:30 +0000 2014,14616,721,103,en,174,Lebanon,country
198459745,NA,Wed Dec 07 10:21:59 +0000 2016,NA,NA,FALSE,"Santiago, Chile",TRUE,Mon Oct 04 11:16:42 +0000 2010,2887,208,537,es,429,Chile,city
4567387397,NA,Wed Dec 07 10:22:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287775,142,0,en,4,Guadeloupe,country
164582407,NA,Wed Dec 07 10:22:49 +0000 2016,NA,NA,FALSE,NA,TRUE,Fri Jul 09 06:25:05 +0000 2010,51003,1902,641,en,4996,United States,city
15332277,NA,Wed Dec 07 10:23:15 +0000 2016,NA,NA,FALSE,"Northamptonshire, England",TRUE,Sun Jul 06 11:59:05 +0000 2008,77379,731,2295,en,913,United Kingdom,city
4567387397,NA,Wed Dec 07 10:24:01 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287776,142,0,en,4,Antigua and Barbuda,country
235819278,NA,Wed Dec 07 10:24:09 +0000 2016,NA,NA,FALSE,North of the Bank,TRUE,Sun Jan 09 04:26:42 +0000 2011,100539,1590,32407,en,517,United States,city
24742191,djdrm1972,Wed Dec 07 10:24:14 +0000 2016,8.06E+17,1395136699,FALSE,"Oakville, Ontario",TRUE,Mon Mar 16 18:31:40 +0000 2009,6794,182,5737,en,188,Canada,city
2909071045,NA,Wed Dec 07 10:24:38 +0000 2016,NA,NA,FALSE,inloved with that bitch,TRUE,Mon Nov 24 12:20:36 +0000 2014,26542,1066,4933,en,858,Republic of the Philippines,city
4567387397,NA,Wed Dec 07 10:25:01 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287777,142,0,en,4,Montserrat,country
1730175720,NA,Wed Dec 07 10:25:02 +0000 2016,NA,NA,FALSE,NA,TRUE,Wed Sep 04 23:36:42 +0000 2013,21551,301,7920,en,137,United States,city
2927378039,KekeNewsome_,Wed Dec 07 10:25:40 +0000 2016,NA,277611823,FALSE,NA,TRUE,Wed Dec 17 17:51:13 +0000 2014,6640,254,1843,en,637,United States,admin
307422976,NA,Wed Dec 07 10:25:59 +0000 2016,NA,NA,FALSE, UK Reading wing chun ,TRUE,Sun May 29 16:18:16 +0000 2011,5400,339,227,en,382,United Kingdom,city
54390699,NA,Wed Dec 07 10:25:59 +0000 2016,NA,NA,FALSE,Dragonstone,TRUE,Tue Jul 07 00:36:05 +0000 2009,21702,360,7672,en,258,United States,poi
192595493,NA,Wed Dec 07 10:26:09 +0000 2016,NA,NA,FALSE,"Marília, Brasil",TRUE,Sun Sep 19 16:20:49 +0000 2010,54916,595,930,pt,372,Brasil,city
982678748,NA,Wed Dec 07 10:26:14 +0000 2016,NA,NA,FALSE,Jamaica<U+2708><U+FE0F>NewYork<U+2708><U+FE0F>Florida,TRUE,Sat Dec 01 14:42:14 +0000 2012,26649,710,9404,en,557,United States,city
43901213,Russ_Holden,Wed Dec 07 10:26:48 +0000 2016,NA,414830017,FALSE,Cochrane,TRUE,Mon Jun 01 15:16:28 +0000 2009,7556,298,3768,en,296,Canada,city
982678748,NA,Wed Dec 07 10:27:33 +0000 2016,NA,NA,FALSE,Jamaica<U+2708><U+FE0F>NewYork<U+2708><U+FE0F>Florida,TRUE,Sat Dec 01 14:42:14 +0000 2012,26650,710,9404,en,557,United States,city
378155008,NA,Wed Dec 07 10:28:22 +0000 2016,NA,NA,FALSE,+55 11 - XVII,TRUE,Thu Sep 22 18:45:43 +0000 2011,33330,390,3331,pt,106,Brasil,city
7.73E+17,connie2138,Wed Dec 07 10:28:23 +0000 2016,NA,1441312316,FALSE,"Deception Bay, Brisbane",TRUE,Wed Sep 07 07:03:58 +0000 2016,779,105,1392,en,104,Australia,neighborhood
161805838,MilenaNeycheva,Wed Dec 07 10:28:44 +0000 2016,8.06E+17,161805838,FALSE,Bulgaria,TRUE,Thu Jul 01 20:48:52 +0000 2010,848,399,157,en,180,Bulgaria,country
4567387397,NA,Wed Dec 07 10:29:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287777,142,0,en,4,Saint Kitts and Nevis,country
34434703,NA,Wed Dec 07 10:29:13 +0000 2016,NA,NA,FALSE,"Halifax, Nova Scotia",TRUE,Wed Apr 22 23:04:47 +0000 2009,20117,2317,7787,en,3068,Canada,city
7.73E+17,crimemind3,Wed Dec 07 10:29:22 +0000 2016,NA,4226325544,FALSE,"Deception Bay, Brisbane",TRUE,Wed Sep 07 07:03:58 +0000 2016,780,105,1392,en,104,Australia,neighborhood
1276758835,NA,Wed Dec 07 10:29:47 +0000 2016,NA,NA,FALSE,"Al Khobar, Eastern",TRUE,Mon Mar 18 04:18:30 +0000 2013,14523,427,287,en,236,Kingdom of Saudi Arabia,city
28853726,NA,Wed Dec 07 10:30:03 +0000 2016,NA,NA,FALSE,"Guyana, New York, Paris ",TRUE,Sat Apr 04 19:29:00 +0000 2009,6551,639,395,en,481,Guyana,country
4855120030,NA,Wed Dec 07 10:30:14 +0000 2016,NA,NA,FALSE,"Namur, Belgique",TRUE,Wed Jan 27 21:56:06 +0000 2016,1273,314,8021,fr,518,Belgique,country
288277054,NA,Wed Dec 07 10:30:29 +0000 2016,NA,NA,FALSE,Macapá,TRUE,Tue Apr 26 15:22:31 +0000 2011,164,113,65,en,166,Brazil,city
29651269,NA,Wed Dec 07 10:30:40 +0000 2016,NA,NA,FALSE,"North East, England",TRUE,Wed Apr 08 05:48:07 +0000 2009,124367,1081,4579,en,331,United Kingdom,city
2343607394,JennaIvoryxxx,Wed Dec 07 10:30:52 +0000 2016,8.06E+17,2167308367,FALSE,new york city,TRUE,Fri Feb 14 13:51:22 +0000 2014,77907,703,1487,en,3378,United States,city
4567387397,NA,Wed Dec 07 10:31:02 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287780,142,0,en,4,Sint Maarten,country
4567387397,NA,Wed Dec 07 10:31:03 +0000 2016,NA,NA,FALSE,Finland,TRUE,Tue Dec 22 11:53:15 +0000 2015,287781,142,0,en,4,Saint Martin,country
1553513558,notgotaname,Wed Dec 07 10:31:36 +0000 2016,8.06E+17,20849078,FALSE,Putney - London ,TRUE,Fri Jun 28 16:39:02 +0000 2013,82663,824,87346,en,794,United Kingdom,city
335580345,NA,Wed Dec 07 10:31:44 +0000 2016,NA,NA,FALSE,<U+0454>spa<U+03B7><U+0454><U+01B4>a ..  ,TRUE,Thu Jul 14 22:24:00 +0000 2011,21480,2933,118,en,92,Spain,city
298841194,NA,Wed Dec 07 10:31:47 +0000 2016,NA,NA,FALSE,"Alexandria, LA",TRUE,Sun May 15 01:39:08 +0000 2011,128505,1619,37558,en,768,United States,city
7.97E+17,NA,Wed Dec 07 10:31:49 +0000 2016,NA,NA,FALSE,NA,TRUE,Sat Nov 12 15:48:25 +0000 2016,77,5,4,en,3,United States,city
